sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 22, 2026 23:51:20

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +xefx_fifo_ctl:efx_fifo_ctl_3eea493c411e46ef9fe73ece6fe11651(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      15(15)	     0(0)	      5(5)	      13(13)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].u1_inst:efx_fifo_top_3eea493c411e46ef9fe73ece6fe11651(SYNC_CLK=1,MODE="FWFT",DEPTH=16,DATA_WIDTH=8,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0)	       17(0)	     0(0)	      5(0)	       13(0)	     0(0)	     1(0)	     0(0)	
       +genblk2.efx_resetsync_a_rst:efx_resetsync_3eea493c411e46ef9fe73ece6fe11651(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_3eea493c411e46ef9fe73ece6fe11651(WR_DEPTH=16,RD_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     1(1)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_3eea493c411e46ef9fe73ece6fe11651(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      15(15)	     0(0)	      5(5)	      13(13)	     0(0)	     0(0)	     0(0)	
      +genblk1[2].u1_inst:efx_fifo_top_3eea493c411e46ef9fe73ece6fe11651(SYNC_CLK=1,MODE="FWFT",DEPTH=16,DATA_WIDTH=8,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0)	       17(0)	     0(0)	      5(0)	       15(0)	     0(0)	     1(0)	     0(0)	
       +genblk2.efx_resetsync_a_rst:efx_resetsync_3eea493c411e46ef9fe73ece6fe11651(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_3eea493c411e46ef9fe73ece6fe11651(WR_DEPTH=16,RD_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     1(1)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_3eea493c411e46ef9fe73ece6fe11651(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      15(15)	     0(0)	      5(5)	      15(15)	     0(0)	     0(0)	     0(0)	
      +genblk1[3].u1_inst:efx_fifo_top_3eea493c411e46ef9fe73ece6fe11651(SYNC_CLK=1,MODE="FWFT",DEPTH=16,DATA_WIDTH=8,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0)	       17(0)	     0(0)	      5(0)	       13(0)	     0(0)	     1(0)	     0(0)	
       +genblk2.efx_resetsync_a_rst:efx_resetsync_3eea493c411e46ef9fe73ece6fe11651(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_3eea493c411e46ef9fe73ece6fe11651(WR_DEPTH=16,RD_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     1(1)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_3eea493c411e46ef9fe73ece6fe11651(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      15(15)	     0(0)	      5(5)	      13(13)	     0(0)	     0(0)	     0(0)	
     +genblk3.byte2pixel_inst:efx_csi2_byte2pixel_3eea493c411e46ef9fe73ece6fe11651(PIXEL_FIFO_DEPTH=4096,ENABLE_VCX=1'b0,PACK_TYPE=15)	     519(65)	     0(0)	   130(91)	   1257(451)	     0(0)	    32(0)	     0(0)	
      +syncreg_fifowr_done:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_fifo_buffer:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_0:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_1:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_2:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_3:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_4:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_5:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_6:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_7:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_8:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_9:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_10:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_11:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_12:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_13:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_14:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_15:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_16:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_17:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_18:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_20:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=2)	        4(4)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_23:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=16)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_24:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_25:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +syncreg_26:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +genblk2.depack40bit_inst:efx_csi2_depack40bit_3eea493c411e46ef9fe73ece6fe11651	    105(105)	     0(0)	      0(0)	    228(228)	     0(0)	     0(0)	     0(0)	
      +genblk3.depack48bit_inst:efx_csi2_depack48bit_3eea493c411e46ef9fe73ece6fe11651	      55(55)	     0(0)	      0(0)	    119(119)	     0(0)	     0(0)	     0(0)	
      +genblk4.depack56bit_inst:efx_csi2_depack56bit_3eea493c411e46ef9fe73ece6fe11651	      65(65)	     0(0)	      0(0)	    302(302)	     0(0)	     0(0)	     0(0)	
      +genblk5.depack64bit_inst:efx_csi2_depack64bit_3eea493c411e46ef9fe73ece6fe11651	      41(41)	     0(0)	      0(0)	      87(87)	     0(0)	     0(0)	     0(0)	
      +u1_inst:efx_fifo_top_3eea493c411e46ef9fe73ece6fe11651(MODE="FWFT",DEPTH=4096,DATA_WIDTH=64,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=4096,PROG_FULL_NEGATE=4096,PROG_EMPTY_ASSERT=1,PROG_EMPTY_NEGATE=1)	      134(0)	     0(0)	     39(0)	       70(0)	     0(0)	    32(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_3eea493c411e46ef9fe73ece6fe11651(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
